Origem,Destino,Peso
DEMIÁNBICHIR,OCTAVIOMICHEL,2
DEMIÁNBICHIR,OSCARSERRANO,2
DEMIÁNBICHIR,AZALIAORTIZ,2
DEMIÁNBICHIR,CARMENBEATO,2
DEMIÁNBICHIR,HÉCTORBONILLA,2
OCTAVIOMICHEL,DEMIÁNBICHIR,2
OCTAVIOMICHEL,HÉCTORBONILLA,2
OCTAVIOMICHEL,OSCARSERRANO,2
OCTAVIOMICHEL,AZALIAORTIZ,2
OCTAVIOMICHEL,CARMENBEATO,2
OSCARSERRANO,DEMIÁNBICHIR,2
OSCARSERRANO,HÉCTORBONILLA,2
OSCARSERRANO,OCTAVIOMICHEL,2
OSCARSERRANO,AZALIAORTIZ,2
OSCARSERRANO,CARMENBEATO,2
AZALIAORTIZ,DEMIÁNBICHIR,2
AZALIAORTIZ,HÉCTORBONILLA,2
AZALIAORTIZ,OSCARSERRANO,2
AZALIAORTIZ,OCTAVIOMICHEL,2
AZALIAORTIZ,CARMENBEATO,2
CARMENBEATO,DEMIÁNBICHIR,2
CARMENBEATO,HÉCTORBONILLA,2
CARMENBEATO,OSCARSERRANO,2
CARMENBEATO,AZALIAORTIZ,2
CARMENBEATO,OCTAVIOMICHEL,2
HÉCTORBONILLA,DEMIÁNBICHIR,2
HÉCTORBONILLA,OCTAVIOMICHEL,2
HÉCTORBONILLA,OSCARSERRANO,2
HÉCTORBONILLA,AZALIAORTIZ,2
HÉCTORBONILLA,CARMENBEATO,2
TEDDCHAN,TOMMYKUAN,2
TEDDCHAN,STELLACHUNG,2
TEDDCHAN,HENLEYHII,2
TEDDCHAN,MARKLEE,2
TEDDCHAN,JOSHLAI,2
TEDDCHAN,BENJAMINLIM,2
TEDDCHAN,LAWRENCEKOH,2
TEDDCHAN,SUSANLEONG,2
TOMMYKUAN,TEDDCHAN,2
TOMMYKUAN,STELLACHUNG,2
TOMMYKUAN,HENLEYHII,2
TOMMYKUAN,LAWRENCEKOH,2
TOMMYKUAN,MARKLEE,2
TOMMYKUAN,JOSHLAI,2
TOMMYKUAN,BENJAMINLIM,2
TOMMYKUAN,SUSANLEONG,2
STELLACHUNG,TEDDCHAN,2
STELLACHUNG,TOMMYKUAN,2
STELLACHUNG,HENLEYHII,2
STELLACHUNG,MARKLEE,2
STELLACHUNG,JOSHLAI,2
STELLACHUNG,BENJAMINLIM,2
STELLACHUNG,LAWRENCEKOH,2
STELLACHUNG,SUSANLEONG,2
HENLEYHII,TEDDCHAN,2
HENLEYHII,STELLACHUNG,2
HENLEYHII,TOMMYKUAN,2
HENLEYHII,MARKLEE,2
HENLEYHII,JOSHLAI,2
HENLEYHII,BENJAMINLIM,2
HENLEYHII,LAWRENCEKOH,2
HENLEYHII,SUSANLEONG,2
MARKLEE,TEDDCHAN,2
MARKLEE,STELLACHUNG,2
MARKLEE,HENLEYHII,2
MARKLEE,LAWRENCEKOH,2
MARKLEE,TOMMYKUAN,2
MARKLEE,JOSHLAI,2
MARKLEE,BENJAMINLIM,2
MARKLEE,SUSANLEONG,2
JOSHLAI,TEDDCHAN,2
